model_id,method,change_point_index,normalized_position,day_label
pelt_l1,pelt,24,0.06575342465753424,Day_25
pelt_rbf,pelt,24,0.06575342465753424,Day_25
bocpd_gaussian_heuristic,bocpd,34,0.09315068493150686,Day_35
bocpd_gaussian_predictive_ll,bocpd,34,0.09315068493150686,Day_35
pelt_l2,pelt,39,0.10684931506849316,Day_40
pelt_ar,pelt,58,0.1589041095890411,Day_59
pelt_l1,pelt,58,0.1589041095890411,Day_59
pelt_rbf,pelt,58,0.1589041095890411,Day_59
bocpd_gaussian_heuristic,bocpd,86,0.2356164383561644,Day_87
bocpd_gaussian_predictive_ll,bocpd,86,0.2356164383561644,Day_87
pelt_l2,pelt,91,0.2493150684931507,Day_92
bocpd_gaussian_heuristic,bocpd,115,0.3150684931506849,Day_116
bocpd_gaussian_predictive_ll,bocpd,115,0.3150684931506849,Day_116
bocpd_gaussian_heuristic,bocpd,126,0.3452054794520548,Day_127
bocpd_gaussian_predictive_ll,bocpd,126,0.3452054794520548,Day_127
pelt_l1,pelt,135,0.3698630136986301,Day_136
pelt_ar,pelt,149,0.40821917808219177,Day_150
pelt_rbf,pelt,149,0.40821917808219177,Day_150
bocpd_gaussian_heuristic,bocpd,168,0.4602739726027397,Day_169
bocpd_gaussian_predictive_ll,bocpd,168,0.4602739726027397,Day_169
bocpd_gaussian_heuristic,bocpd,179,0.4904109589041096,Day_180
bocpd_gaussian_predictive_ll,bocpd,179,0.4904109589041096,Day_180
bocpd_gaussian_heuristic,bocpd,190,0.5205479452054794,Day_191
bocpd_gaussian_predictive_ll,bocpd,190,0.5205479452054794,Day_191
pelt_ar,pelt,212,0.5808219178082191,Day_213
pelt_ar,pelt,220,0.6027397260273972,Day_221
bocpd_gaussian_heuristic,bocpd,225,0.6164383561643836,Day_226
bocpd_gaussian_predictive_ll,bocpd,225,0.6164383561643836,Day_226
pelt_l2,pelt,239,0.6547945205479452,Day_240
bocpd_gaussian_heuristic,bocpd,250,0.6876712328767123,Day_251
bocpd_gaussian_predictive_ll,bocpd,250,0.6876712328767123,Day_251
bocpd_gaussian_heuristic,bocpd,283,0.7753424657534247,Day_284
bocpd_gaussian_predictive_ll,bocpd,283,0.7753424657534247,Day_284
pelt_ar,pelt,320,0.8767123287671232,Day_321
pelt_ar,pelt,325,0.8904109589041096,Day_326
bocpd_gaussian_heuristic,bocpd,363,0.9945205479452055,Day_364
bocpd_gaussian_predictive_ll,bocpd,363,0.9945205479452055,Day_364
