model_id,method,change_point_index,normalized_position,day_label
pelt_l1,pelt,24,0.06575342465753424,Day_25
pelt_l2,pelt,24,0.06575342465753424,Day_25
pelt_rbf,pelt,24,0.06575342465753424,Day_25
pelt_ar,pelt,58,0.1589041095890411,Day_59
pelt_l1,pelt,58,0.1589041095890411,Day_59
pelt_l2,pelt,58,0.1589041095890411,Day_59
pelt_rbf,pelt,58,0.1589041095890411,Day_59
bocpd_gaussian_heuristic,bocpd,80,0.2191780821917808,Day_81
bocpd_gaussian_predictive_ll,bocpd,80,0.2191780821917808,Day_81
bocpd_gaussian_heuristic,bocpd,91,0.2493150684931507,Day_92
bocpd_gaussian_predictive_ll,bocpd,91,0.2493150684931507,Day_92
bocpd_gaussian_heuristic,bocpd,115,0.3150684931506849,Day_116
bocpd_gaussian_predictive_ll,bocpd,115,0.3150684931506849,Day_116
pelt_l1,pelt,135,0.3698630136986301,Day_136
pelt_rbf,pelt,135,0.3698630136986301,Day_136
pelt_ar,pelt,149,0.40821917808219177,Day_150
pelt_l2,pelt,149,0.40821917808219177,Day_150
bocpd_gaussian_heuristic,bocpd,195,0.5342465753424658,Day_196
bocpd_gaussian_predictive_ll,bocpd,195,0.5342465753424658,Day_196
bocpd_gaussian_heuristic,bocpd,204,0.5589041095890411,Day_205
bocpd_gaussian_predictive_ll,bocpd,204,0.5589041095890411,Day_205
bocpd_gaussian_heuristic,bocpd,214,0.5863013698630137,Day_215
bocpd_gaussian_predictive_ll,bocpd,214,0.5863013698630137,Day_215
bocpd_gaussian_heuristic,bocpd,230,0.6301369863013698,Day_231
bocpd_gaussian_predictive_ll,bocpd,230,0.6301369863013698,Day_231
bocpd_gaussian_heuristic,bocpd,258,0.7068493150684931,Day_259
bocpd_gaussian_predictive_ll,bocpd,258,0.7068493150684931,Day_259
bocpd_gaussian_heuristic,bocpd,315,0.863013698630137,Day_316
bocpd_gaussian_predictive_ll,bocpd,315,0.863013698630137,Day_316
pelt_ar,pelt,320,0.8767123287671232,Day_321
pelt_ar,pelt,327,0.8958904109589041,Day_328
bocpd_gaussian_heuristic,bocpd,354,0.9698630136986301,Day_355
bocpd_gaussian_predictive_ll,bocpd,354,0.9698630136986301,Day_355
